goods_nomenclature_sid,goods_nomenclature_item_id,productline_suffix,description
53472,"9000000000","80","OPTICAL PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING CHECKING PRECISION MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF"
53473,"9001000000","80","Optical fibres and optical fibre bundles; optical fibre cables other than those of heading 8544; sheets and plates of polarising material; lenses (including contact lenses) prisms mirrors and other optical elements of any material unmounted other than such elements of glass not optically worked"
53474,"9001100000","80","Optical fibres optical fibre bundles and cables"
53475,"9001101000","80","Image conductor cables"
53478,"9001109000","80","Other"
53479,"9001109010","80","Image reverser made up from an assembly of optical fibres"
96392,"9001109030","80","Polymer optical fibre with:  						 - a poly(methyl methacrylate) core  						 - a cladding of fluorinated polymer  						 - a diameter of not more than 30 mm and  						 - a length of more than 150 m of a kind used in the manufacture of polymer fibre cables"
100590,"9001109040","80","Fibre optic plates:   - uncoated and unpainted   - of a length of 30mm or more but not more than 234.5mm   - of a width of 7mm or more but not more than 28mm and   - of a height of 0.5mm or more but not more than 3mm of a kind used in dental x-ray systems"
53480,"9001109090","80","Other"
53481,"9001200000","80","Sheets and plates of polarising material"
53486,"9001300000","80","Contact lenses"
53487,"9001400000","80","Spectacle lenses of glass"
53490,"9001402000","80","Not for the correction of vision"
53494,"9001404100","10","For the correction of vision"
53495,"9001404100","20","Both sides finished"
53496,"9001404100","80","Single focal"
53497,"9001404900","80","Other"
53498,"9001408000","80","Other"
53500,"9001500000","80","Spectacle lenses of other materials"
53503,"9001502000","80","Not for the correction of vision"
53507,"9001504100","10","For the correction of vision"
53508,"9001504100","20","Both sides finished"
53509,"9001504100","80","Single focal"
103675,"9001504140","80","Organic uncut corrective eyeglass lens finished on both sides to undergo a coating colouring edging mounting or any other substantial process for use in the manufacture of corrective glasses"
98851,"9001504190","80","Other"
53510,"9001504900","80","Other"
103676,"9001504940","80","Organic uncut corrective eyeglass lens finished on both sides to undergo a coating colouring edging mounting or any other substantial process for use in the manufacture of corrective glasses"
98854,"9001504990","80","Other"
53511,"9001508000","80","Other"
100001,"9001508030","80","Round organic uncut semi-finished eyeglass lens with corrective effect finished on one side of a kind used for the manufacture of finished eyeglass lenses"
98850,"9001508090","80","Other"
53513,"9001900000","80","Other"
83935,"9001900010","80","For use in civil aircraft"
100591,"9001900018","80","Fibre optic plates:   - uncoated and unpainted   - of a length of 30mm or more but not more than 234.5mm   - of a width of 7mm or more but not more than 28mm and   - of a height of 0.5mm or more but not more than 3mm of a kind used in dental x-ray systems"
103742,"9001900033","80","Reflector or diffuser sheets in rolls - for protection against ultraviolet or infra-red heat radiation to be affixed to windows or - for equal transmission and distribution of light intended for LCD modules "
83939,"9001900035","80","Rear projection screen comprising a lenticular plastic plate"
83941,"9001900045","80","Rod of neodymium-doped yttrium-aluminium garnet (YAG) material polished at both ends"
86563,"9001900055","80","Optical diffuser reflector or prism sheets unprinted diffuser plates whether or not possessing polarising properties specifically cut"
