goods_nomenclature_sid,goods_nomenclature_item_id,productline_suffix,description
37614,"3000000000","80","PHARMACEUTICAL PRODUCTS"
37615,"3001000000","80","Glands and other organs for organo-therapeutic uses dried whether or not powdered; extracts of glands or other organs or of their secretions for organo-therapeutic uses; heparin and its salts; other human or animal substances prepared for therapeutic or prophylactic uses not elsewhere specified or included"
37619,"3001200000","80","Extracts of glands or other organs or of their secretions"
37620,"3001201000","80","Of human origin"
37621,"3001209000","80","Other"
37622,"3001900000","80","Other"
85606,"3001902000","80","Of human origin"
37624,"3001909100","10","Other"
37625,"3001909100","80","Heparin and its salts"
85607,"3001909800","80","Other"
37627,"3002000000","80","Human blood; animal blood prepared for therapeutic prophylactic or diagnostic uses; antisera other blood fractions and immunological products whether or not modified or obtained by means of biotechnological processes; vaccines toxins cultures of micro-organisms (excluding yeasts) and similar products"
101642,"3002110000","10","Antisera other blood fractions and immunological products whether or not modified or obtained by means of biotechnological processes"
101636,"3002110000","80","Malaria diagnostic test kits"
101637,"3002120000","80","Antisera and other blood fractions"
101638,"3002130000","80","Immunological products unmixed not put up in measured doses or in forms or packings for retail sale"
105887,"3002130010","80","Diagnostic reagents of a kind used in the diagnosis of SARS-CoV virus species infections"
105918,"3002130090","80","Other"
101639,"3002140000","80","Immunological products mixed not put up in measured doses or in forms or packings for retail sale"
105891,"3002140010","80","Diagnostic reagents of a kind used in the diagnosis of SARS-CoV virus species infections"
105919,"3002140090","80","Other"
101640,"3002150000","80","Immunological products put up in measured doses or in forms or packings for retail sale"
105892,"3002150010","80","SARS-CoV virus species diagnostic reagents whether or not put up in the form of kits"
105920,"3002150090","80","Other"
101641,"3002190000","80","Other"
37648,"3002200000","80","Vaccines for human medicine"
105931,"3002201000","80","Vaccines against SARS-related coronaviruses (SARS-CoV species)"
105932,"3002209000","80","Other"
59626,"3002300000","80","Vaccines for veterinary medicine"
37654,"3002900000","80","Other"
37655,"3002901000","80","Human blood"
37656,"3002903000","80","Animal blood prepared for therapeutic prophylactic or diagnostic uses"
37657,"3002905000","80","Cultures of micro-organisms"
96432,"3002905010","80","Pathogens and cultures of pathogens"
96434,"3002905090","80","Other"
37658,"3002909000","80","Other"
96433,"3002909010","80","Pathogens and cultures of pathogens"
96435,"3002909090","80","Other"
37661,"3003000000","80","Medicaments (excluding goods of heading 3002 3005 or 3006) consisting of two or more constituents which have been mixed together for therapeutic or prophylactic uses not put up in measured doses or in forms or packings for retail sale"
37662,"3003100000","80","Containing penicillins or derivatives thereof with a penicillanic acid structure or streptomycins or their derivatives"
37665,"3003200000","80","Other containing antibiotics"
37670,"3003310000","10","Other containing hormones or other products of heading 2937"
37671,"3003310000","80","Containing insulin"
37672,"3003390000","80","Other"
101643,"3003410000","10","Other containing alkaloids or derivatives thereof"
101644,"3003410000","80","Containing ephedrine or its salts"
101645,"3003420000","80","Containing pseudoephedrine (INN) or its salts"
101646,"3003430000","80","Containing norephedrine or its salts"
101647,"3003490000","80","Other"
101648,"3003600000","80","Other containing antimalarial active principles described in Subheading Note 2 to this Chapter"
37678,"3003900000","80","Other"
37684,"3004000000","80","Medicaments (excluding goods of heading 3002 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic uses put up in measured doses (including those in the form of transdermal administration systems) or in forms or packings for retail sale"
37685,"3004100000","80","Containing penicillins or derivatives thereof with a penicillanic acid structure or streptomycins or their derivatives"
37690,"3004200000","80","Other containing antibiotics"
37701,"3004310000","10","Other containing hormones or other products of heading 2937"
37702,"3004310000","80","Containing insulin"
37705,"3004320000","80","Containing corticosteroid hormones their derivatives or structural analogues"
37708,"3004390000","80","Other"
101649,"3004410000","10","Other containing alkaloids or derivatives thereof"
101650,"3004410000","80","Containing ephedrine or its salts"
101651,"3004420000","80","Containing pseudoephedrine (INN) or its salts"
101652,"3004430000","80","Containing norephedrine or its salts"
101653,"3004490000","80","Other"
37718,"3004500000","80","Other containing vitamins or other products of heading 2936"
101654,"3004600000","80","Other containing antimalarial active principles described in Subheading Note 2 to this Chapter"
37723,"3004900000","80","Other"
37744,"3005000000","80","Wadding gauze bandages and similar articles (for example dressings adhesive plasters poultices) impregnated or coated with pharmaceutical substances or put up in forms or packings for retail sale for medical surgical dental or veterinary purposes"
37745,"3005100000","80","Adhesive dressings and other articles having an adhesive layer"
37748,"3005900000","80","Other"
37749,"3005901000","80","Wadding and articles of wadding"
37753,"3005903100","10","Other"
37754,"3005903100","20","Of textile materials"
37755,"3005903100","80","Gauze and articles of gauze"
91664,"3005905000","80","Other"
37759,"3005909900","80","Other"
37760,"3006000000","80","Pharmaceutical goods specified in note 4 to this chapter"
37761,"3006100000","80","Sterile surgical catgut similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers whether or not absorbable"
37762,"3006101000","80","Sterile surgical catgut"
