goods_nomenclature_sid,goods_nomenclature_item_id,productline_suffix,description
31794,"1000000000","80","CEREALS"
31795,"1001000000","80","Wheat and meslin"
94566,"1001110000","10","Durum wheat"
94567,"1001110000","80","Seed"
94568,"1001190000","80","Other"
94569,"1001190012","10","High quality durum wheat"
94570,"1001190012","80","Durum wheat with - a specific weight in kg/hl greater than or equal to 80 - a maximum of 200 % of grains which have lost their vitreous aspect - a maximum of 100 % of matter which is not quality wheat grains of unimpaired quality of which a maximum of 70 % of broken and/or shrivelled grains a maximum of 20 % grains damaged by pests a maximum of 50 % grains affected with fusariosis and/or mottled grains a maximum of 05 % of sprouted grains - a maximum of 10 % of miscellaneous impurities (Schwarzbesatz) - a Hagberg falling number of a minimum of 250"
94571,"1001190018","80","Other"
103197,"1001190020","80","Medium quality durum wheat"
103198,"1001190030","80","Low quality durum wheat"
94574,"1001910000","10","Other"
94575,"1001910000","80","Seed"
94576,"1001911000","80","Spelt"
94577,"1001912000","80","Common wheat and meslin"
94578,"1001912010","80","Meslin"
94579,"1001912020","80","Common wheat"
94580,"1001919000","80","Other"
94591,"1001990000","80","Other"
98509,"1001990013","10","High quality common wheat"
98502,"1001990013","80","With: - a specific weight in kg/hl greater than or equal to 78 - a maximum of 100 % of matter which is not quality wheat grains of unimpaired quality of which a maximum of 70 % of broken and/or shrivelled grains a maximum of 20 % grains damaged by pests a maximum of 05 % sprouted grains - a maximum of 10 % of miscellaneous impurities (Schwarzbesatz) - a Hagberg falling number of a minimum of 230 - a protein content (135 % moisture content) of a minimum of 146 %"
98497,"1001990015","80","Other"
98558,"1001990040","80","Medium quality common wheat"
98495,"1001990050","80","Low quality common wheat"
98493,"1001990060","80","Spelt"
96618,"1001990092","80","Meslin"
96617,"1001990094","80","Other"
31804,"1002000000","80","Rye"
94637,"1002100000","80","Seed"
94638,"1002900000","80","Other"
31805,"1003000000","80","Barley"
94641,"1003100000","80","Seed"
94642,"1003900000","80","Other"
94643,"1003900020","10","For the manufacture of malt"
94644,"1003900020","80","with the following quality criteria: - specific weight 605 kg/hl or more - damaged grains 1 %  or less - moisture content 135 % or less - sound fair and merchantable barley 96 % or more to be used for the manufacture of beer aged in vats containing beechwood "
94645,"1003900030","80","Other"
94646,"1003900090","80","Other"
31815,"1004000000","80","Oats"
94639,"1004100000","80","Seed"
94640,"1004900000","80","Other"
31818,"1005000000","80","Maize (corn)"
31819,"1005100000","80","Seed"
94647,"1005101300","10","Hybrid"
31822,"1005101300","80","Three-cross hybrids"
31823,"1005101500","80","Simple hybrids"
94648,"1005101800","80","Other"
31825,"1005109000","80","Other"
31826,"1005900000","80","Other"
103191,"1005900020","80","Flint maize of specific weight equal to or more than 755 kg/hl with a vitreous grain content equal to or more than 92% by weight and with a maximum flotation index 26 and intended for processing"
103192,"1005900090","80","Other"
31827,"1006000000","80","Rice"
31828,"1006100000","80","Rice in the husk (paddy or rough)"
31829,"1006101000","80","For sowing"
100936,"1006103000","10","Other"
100931,"1006103000","80","Round grain"
100932,"1006105000","80","Medium grain"
100933,"1006107100","10","Long grain"
100934,"1006107100","80","Of a length/width ratio greater than 2 but less than 3"
100935,"1006107900","80","Of a length/width ratio equal to or greater than 3"
31856,"1006200000","80","Husked (brown) rice"
31858,"1006201100","10","Parboiled"
31859,"1006201100","80","Round grain"
31860,"1006201300","80","Medium grain"
31861,"1006201500","10","Long grain"
31862,"1006201500","80","Of a length/width ratio greater than 2 but less than 3"
31865,"1006201700","80","Of a length/width ratio equal to or greater than 3"
80642,"1006201713","10","Aromatic rice"
102216,"1006201713","20","Basmati rice"
80624,"1006201713","80","Of the varieties Basmati 370 Basmati 386 (India) Type-3 (Dehradun) (India) Taraori Basmati (HBC-19) (India) Basmati 217 (India) Ranbir Basmati (India) Kernel (Basmati) (Pakistan) Pusa Basmati Super Basmati"
80626,"1006201718","80","Other"
102217,"1006201791","80","Other"
102218,"1006201799","80","Other"
31871,"1006209200","10","Other"
31872,"1006209200","80","Round grain"
31873,"1006209400","80","Medium grain"
31874,"1006209600","10","Long grain"
31875,"1006209600","80","Of a length/width ratio greater than 2 but less than 3"
31878,"1006209800","80","Of a length/width ratio equal to or greater than 3"
102498,"1006209813","10","Aromatic rice"
102230,"1006209813","20","Basmati rice"
80627,"1006209813","80","Of the varieties Basmati 370 Basmati 386 (India) Type-3 (Dehradun) (India) Taraori Basmati (HBC-19) (India) Basmati 217 (India) Ranbir Basmati (India) Kernel (Basmati) (Pakistan) Pusa Basmati Super Basmati"
80628,"1006209818","80","Other"
102232,"1006209891","80","Other"
102236,"1006209899","80","Other"
31881,"1006300000","80","Semi-milled or wholly milled rice whether or not polished or glazed"
31886,"1006302100","10","Semi-milled rice"
31887,"1006302100","20","Parboiled"
31888,"1006302100","80","Round grain"
84454,"1006302110","80","In immediate packings of a net content not exceeding 5 kg"
93494,"1006302120","80","In immediate packings of a net content exceeding 5 kg but not exceeding 20 kg"
84415,"1006302190","80","Other"
31889,"1006302300","80","Medium grain"
84455,"1006302310","80","In immediate packings of a net content not exceeding 5 kg"
93495,"1006302320","80","In immediate packings of a net content exceeding 5 kg but not exceeding 20 kg"
84418,"1006302390","80","Other"
31890,"1006302500","10","Long grain"
31891,"1006302500","80","Of a length/width ratio greater than 2 but less than 3"
84456,"1006302510","80","In immediate packings of a net content not exceeding 5 kg"
93496,"1006302520","80","In immediate packings of a net content exceeding 5 kg but not exceeding 20 kg"
84420,"1006302590","80","Other"
31894,"1006302700","80","Of a length/width ratio equal to or greater than 3"
102241,"1006302712","10","In immediate packings of a net content not exceeding 5 kg"
102746,"1006302712","20","Aromatic rice"
102246,"1006302712","80","Basmati rice"
102247,"1006302714","80","Other"
102245,"1006302716","80","Other"
102249,"1006302722","10","In immediate packings of a net content exceeding 5 kg but not exceeding 20 kg"
102747,"1006302722","20","Aromatic rice"
102255,"1006302722","80","Basmati rice"
102256,"1006302724","80","Other"
102257,"1006302726","80","Other"
102367,"1006302792","10","Other"
102748,"1006302792","20","Aromatic rice"
102260,"1006302792","80","Basmati rice"
102261,"1006302794","80","Other"
102262,"1006302796","80","Other"
31897,"1006304200","10","Other"
31898,"1006304200","80","Round grain"
84458,"1006304210","80","In immediate packings of a net content not exceeding 5 kg"
93498,"1006304220","80","In immediate packings of a net content exceeding 5 kg but not exceeding 20 kg"
84423,"1006304290","80","Other"
31899,"1006304400","80","Medium grain"
84459,"1006304410","80","In immediate packings of a net content not exceeding 5 kg"
93499,"1006304420","80","In immediate packings of a net content exceeding 5 kg but not exceeding 20 kg"
84425,"1006304490","80","Other"
31900,"1006304600","10","Long grain"
31901,"1006304600","80","Of a length/width ratio greater than 2 but less than 3"
84460,"1006304610","80","In immediate packings of a net content not exceeding 5 kg"
93500,"1006304620","80","In immediate packings of a net content exceeding 5 kg but not exceeding 20 kg"
84428,"1006304690","80","Other"
31904,"1006304800","80","Of a length/width ratio equal to or greater than 3"
102344,"1006304812","10","In immediate packings of a net content not exceeding 5 kg"
102749,"1006304812","20","Aromatic rice"
102265,"1006304812","80","Basmati rice"
102266,"1006304814","80","Other"
102267,"1006304816","80","Other"
102298,"1006304822","10","In immediate packings of a net content exceeding 5 kg but not exceeding 20 kg"
102750,"1006304822","20","Aromatic rice"
102300,"1006304822","80","Basmati rice"
102301,"1006304824","80","Other"
102302,"1006304826","80","Other"
102345,"1006304892","10","Other"
102751,"1006304892","20","Aromatic rice"
102305,"1006304892","80","Basmati rice"
102306,"1006304894","80","Other"
102307,"1006304896","80","Other"
31907,"1006306100","10","Wholly milled rice"
31908,"1006306100","20","Parboiled"
31909,"1006306100","80","Round grain"
84462,"1006306110","80","In immediate packings of a net content not exceeding 5 kg"
93502,"1006306120","80","In immediate packings of a net content exceeding 5 kg but not exceeding 20 kg"
84432,"1006306190","80","Other"
31910,"1006306300","80","Medium grain"
84463,"1006306310","80","In immediate packings of a net content not exceeding 5 kg"
93503,"1006306320","80","In immediate packings of a net content exceeding 5 kg but not exceeding 20 kg"
84433,"1006306390","80","Other"
31911,"1006306500","10","Long grain"
