goods_nomenclature_sid,goods_nomenclature_item_id,productline_suffix,description
33378,"2000000000","80","PREPARATIONS OF VEGETABLES FRUIT NUTS OR OTHER PARTS OF PLANTS"
33379,"2001000000","80","Vegetables fruit nuts and other edible parts of plants prepared or preserved by vinegar or acetic acid"
33380,"2001100000","80","Cucumbers and gherkins"
33381,"2001100011","10","Cucumbers"
33382,"2001100011","80","Not containing added sugar"
33383,"2001100019","80","Other"
33384,"2001100090","80","Gherkins"
33394,"2001900000","80","Other"
33395,"2001901000","80","Mango chutney"
33396,"2001902000","80","Fruit of the genus Capsicum other than sweet peppers or pimentos"
33399,"2001903000","80","Sweetcorn (Zea mays var. saccharata)"
88124,"2001903010","80","In kernels not frozen"
105504,"2001903091","10","Other"
105506,"2001903091","80","in cobs with a diameter of 8 mm or more but not more than 12 mm"
105507,"2001903099","80","Other"
33400,"2001904000","80","Yams sweet potatoes and similar edible parts of plants containing 5 % or more by weight of starch"
33403,"2001905000","80","Mushrooms"
33404,"2001905010","80","Not containing added sugar"
33405,"2001905090","80","Other"
33407,"2001906500","80","Olives"
33408,"2001906510","80","Not containing added sugar"
33409,"2001906590","80","Other"
33410,"2001907000","80","Sweet peppers"
33411,"2001907010","80","Not containing added sugar"
33412,"2001907090","80","Other"
94840,"2001909200","80","Tropical fruit and tropical nuts; palm hearts"
94846,"2001909210","80","Palm hearts"
94845,"2001909221","10","Other"
94844,"2001909221","80","Not containing added sugar"
94843,"2001909229","80","Other"
89294,"2001909700","80","Other"
104053,"2001909711","10","Turnips (Brassica rapa spp. Rapa)"
104054,"2001909711","80","Not containing added sugar"
104052,"2001909719","80","Other"
89295,"2001909721","10","Vine leaves"
89296,"2001909721","80","Not containing added sugar"
89297,"2001909729","80","Other"
89299,"2001909731","10","Hop shoots and similar edible parts of plants"
89300,"2001909731","80","Not containing added sugar"
89301,"2001909739","80","Other"
98684,"2001909754","10","Onions"
98685,"2001909754","80","Not containing added sugar"
98686,"2001909756","80","Other"
89313,"2001909781","10","Potatoes and products thereof"
89314,"2001909781","80","Not containing added sugar"
89315,"2001909789","80","Other"
89316,"2001909791","10","Other"
89317,"2001909791","80","Not containing added sugar"
89318,"2001909799","80","Other"
33491,"2002000000","80","Tomatoes prepared or preserved otherwise than by vinegar or acetic acid"
33492,"2002100000","80","Tomatoes whole or in pieces"
33495,"2002101000","80","Peeled"
33496,"2002109000","80","Other"
33497,"2002900000","80","Other"
33499,"2002901100","10","With a dry matter content of less than 12 % by weight"
33500,"2002901100","80","In immediate packings of a net content exceeding 1 kg"
33501,"2002901900","80","In immediate packings of a net content not exceeding 1 kg"
33503,"2002903100","10","With a dry matter content of not less than 12 % but not more than 30 % by weight"
33504,"2002903100","80","In immediate packings of a net content exceeding 1 kg"
33505,"2002903900","80","In immediate packings of a net content not exceeding 1 kg"
33507,"2002909100","10","With a dry matter content of more than 30 % by weight"
33508,"2002909100","80","In immediate packings of a net content exceeding 1 kg"
75714,"2002909110","80","Powdered whether or not containing added sugar other sweetening matter or starch"
75693,"2002909190","80","Other"
33509,"2002909900","80","In immediate packings of a net content not exceeding 1 kg"
75723,"2002909910","80","Powdered whether or not containing added sugar other sweetening matter or starch"
75694,"2002909990","80","Other"
33510,"2003000000","80","Mushrooms and truffles prepared or preserved otherwise than by vinegar or acetic acid"
33511,"2003100000","80","Mushrooms of the genus Agaricus"
33530,"2003102000","80","Provisionally preserved completely cooked"
33535,"2003103000","80","Other"
73011,"2003900000","80","Other"
94847,"2003901000","80","Truffles"
94848,"2003909000","80","Other"
33545,"2004000000","80","Other vegetables prepared or preserved otherwise than by vinegar or acetic acid frozen other than products of heading 2006"
33546,"2004100000","80","Potatoes"
33547,"2004101000","80","Cooked not otherwise prepared"
33548,"2004109100","10","Other"
33549,"2004109100","80","In the form of flour meal or flakes"
33550,"2004109900","80","Other"
33551,"2004900000","80","Other vegetables and mixtures of vegetables"
33552,"2004901000","80","Sweetcorn (Zea mays var. saccharata)"
33553,"2004903000","80","Sauerkraut capers and olives"
33554,"2004903010","80","Sauerkraut"
33555,"2004903020","80","Capers"
33556,"2004903030","80","Olives"
33557,"2004905000","80","Peas (Pisum sativum) and immature beans of the species Phaseolus spp. in pod"
33558,"2004909100","10","Other including mixtures"
33559,"2004909100","80","Onions cooked not otherwise prepared"
59508,"2004909800","80","Other"
81194,"2004909810","80","Mixtures"
61066,"2004909820","80","Carrots"
61067,"2004909830","80","Asparagus"
88674,"2004909860","80","Products containing meat in a proportion of 3 % up to and including 20 % by weight"
82134,"2004909870","80","Globe artichokes"
70640,"2004909880","80","Other"
33597,"2005000000","80","Other vegetables prepared or preserved otherwise than by vinegar or acetic acid not frozen other than products of heading 2006"
33598,"2005100000","80","Homogenised vegetables"
89997,"2005100010","80","Mixtures"
89995,"2005100020","80","Carrots"
89996,"2005100040","80","Asparagus"
70643,"2005100080","80","Other"
33615,"2005200000","80","Potatoes"
33616,"2005201000","80","In the form of flour meal or flakes"
33617,"2005202000","10","Other"
33618,"2005202000","80","Thin slices fried or baked whether or not salted or flavoured in airtight packings suitable for immediate consumption"
33619,"2005208000","80","Other"
33624,"2005400000","80","Peas (Pisum sativum)"
33625,"2005510000","10","Beans (Vigna spp. Phaseolus spp.)"
33626,"2005510000","80","Beans shelled"
33627,"2005590000","80","Other"
33630,"2005600000","80","Asparagus"
33631,"2005700000","80","Olives"
33634,"2005800000","80","Sweetcorn (Zea mays var. saccharata)"
85627,"2005800010","80","In kernels not frozen"
100359,"2005800030","80","Corn cobs (Zea Mays Saccharata) whether or not cut with a diameter of 10 mm or more but not more than 20 mm for use in the manufacture of products of the food industry for treatment other than simple repacking"
105509,"2005800091","10","Other"
105508,"2005800091","80","in cobs with a diameter of 8 mm or more but not more than 12 mm"
105510,"2005800099","80","Other"
86541,"2005910000","10","Other vegetables and mixtures of vegetables"
86542,"2005910000","80","Bamboo shoots"
86547,"2005910010","80","Bamboo shoots prepared or preserved in immediate packings of a net content of more than 5 kg"
105075,"2005910020","80","Powdered preparations whether or not containing added sugar other sweetening matter or starch"
86564,"2005910090","80","Other"
86567,"2005990000","80","Other"
86568,"2005991000","80","Fruit of the genus Capsicum other than sweet peppers or pimentos"
86569,"2005991010","80","Powdered preparations whether or not containing added sugar other sweetening matter or starch"
86570,"2005991090","80","Other"
86571,"2005992000","80","Capers"
86572,"2005992010","80","Powdered preparations whether or not containing added sugar other sweetening matter or starch"
86573,"2005992090","80","Other"
86574,"2005993000","80","Globe artichokes"
86575,"2005993010","80","Powdered preparations whether or not containing added sugar other sweetening matter or starch"
86576,"2005993090","80","Other"
86580,"2005995000","80","Mixtures of vegetables"
86581,"2005995010","80","Powdered preparations whether or not containing added sugar other sweetening matter or starch"
86582,"2005995090","80","Other"
86583,"2005996000","80","Sauerkraut"
86584,"2005996010","80","Powdered preparations whether or not containing added sugar other sweetening matter or starch"
86585,"2005996090","80","Other"
94851,"2005998000","80","Other"
96394,"2005998021","10","Carrots"
96395,"2005998021","80","Powdered preparations whether or not containing added sugar other sweetening matter or starch"
96396,"2005998029","80","Other"
94855,"2005998091","10","Other"
94856,"2005998091","80","Powdered preparations whether or not containing added sugar other sweetening matter or starch"
94857,"2005998092","80","Products containing meat in a proportion of 3 % up to and including 20 % by weight"
104783,"2005998093","10","Other"
104805,"2005998093","80","Turnips (Brassica rapa spp. Rapa)"
105336,"2005998094","80","Peppers of the Capsicum species (sweet)"
104784,"2005998098","80","Other"
33667,"2006000000","80","Vegetables fruit nuts fruit-peel and other parts of plants preserved by sugar (drained glacé or crystallised)"
33668,"2006001000","80","Ginger"
33669,"2006003100","10","Other"
33670,"2006003100","20","With a sugar content exceeding 13 % by weight"
33671,"2006003100","80","Cherries"
96994,"2006003110","80","Containing less than 70 % by weight of sugar"
97055,"2006003190","80","Other"
55411,"2006003500","80","Tropical fruit and tropical nuts"
55416,"2006003800","80","Other"
97010,"2006003811","10","Sweet corn (Zea mays var. saccharata)"
97063,"2006003811","80","Containing less than 70 % by weight of sugar"
97056,"2006003819","80","Other"
97013,"2006003881","10","Other"
97064,"2006003881","80","Containing less than 70 % by weight of sugar"
97057,"2006003889","80","Other"
55420,"2006009100","10","Other"
55421,"2006009100","80","Tropical fruit and tropical nuts"
55425,"2006009900","80","Other"
75086,"2006009991","80","Sweet corn (Zea mays var. saccharata)"
75088,"2006009999","80","Other"
33678,"2007000000","80","Jams fruit jellies marmalades fruit or nut purée and fruit or nut pastes obtained by cooking whether or not containing added sugar or other sweetening matter"
33679,"2007100000","80","Homogenised preparations"
33680,"2007101000","80","With a sugar content exceeding 13 % by weight"
98713,"2007101050","80","Fig paste"
98715,"2007101060","80","Pistachio paste"
98716,"2007101070","80","Hazelnut paste"
92430,"2007101095","80","Other"
55433,"2007109100","10","Other"
55466,"2007109100","80","Of tropical fruit"
55472,"2007109900","80","Other"
98717,"2007109920","80","Fig paste"
98718,"2007109930","80","Pistachio paste"
98719,"2007109940","80","Hazelnut paste"
92429,"2007109995","80","Other"
33698,"2007910000","10","Other"
33699,"2007910000","80","Citrus fruit"
33700,"2007911000","80","With a sugar content exceeding 30 % by weight"
97065,"2007911010","80","Containing less than 70 % by weight of sugar"
97058,"2007911090","80","Other"
33705,"2007913000","80","With a sugar content exceeding 13 % but not exceeding 30 % by weight"
33710,"2007919000","80","Other"
33715,"2007990000","80","Other"
33716,"2007991000","10","With a sugar content exceeding 30 % by weight"
33717,"2007991000","80","Plum purée and paste and prune purée and paste in immediate packings of a net content exceeding 100 kg for industrial processing"
33718,"2007992000","80","Chestnut purée and paste"
97066,"2007992010","80","Containing less than 70 % by weight of sugar"
97059,"2007992090","80","Other"
33719,"2007993100","10","Other"
33720,"2007993100","80","Of cherries"
98144,"2007993115","10","Containing less than 70 % by weight of sugar"
98151,"2007993115","80","Fruit purées obtained by sieving then brought to the boil in a vacuum the texture and chemical composition of which have not been changed by the heat treatment"
98152,"2007993125","80","Other"
98153,"2007993195","10","Other"
98154,"2007993195","80","Fruit purées obtained by sieving then brought to the boil in a vacuum the texture and chemical composition of which have not been changed by the heat treatment"
98155,"2007993199","80","Other"
33723,"2007993300","80","Of strawberries"
98156,"2007993315","10","Containing less than 70 % by weight of sugar"
98158,"2007993315","80","Fruit purées obtained by sieving then brought to the boil in a vacuum the texture and chemical composition of which have not been changed by the heat treatment"
98162,"2007993325","80","Other"
98166,"2007993395","10","Other"
98159,"2007993395","80","Fruit purées obtained by sieving then brought to the boil in a vacuum the texture and chemical composition of which have not been changed by the heat treatment"
98163,"2007993399","80","Other"
33724,"2007993500","80","Of raspberries"
98157,"2007993515","10","Containing less than 70 % by weight of sugar"
98160,"2007993515","80","Fruit purées obtained by sieving then brought to the boil in a vacuum the texture and chemical composition of which have not been changed by the heat treatment"
98164,"2007993525","80","Other"
98167,"2007993595","10","Other"
98161,"2007993595","80","Fruit purées obtained by sieving then brought to the boil in a vacuum the texture and chemical composition of which have not been changed by the heat treatment"
98165,"2007993599","80","Other"
33725,"2007993900","80","Other"
98720,"2007993901","10","Fig paste"
98723,"2007993901","80","Containing less than 70 % by weight of sugar"
98726,"2007993902","80","Other"
98722,"2007993903","10","Pistachio paste"
98724,"2007993903","80","Containing less than 70 % by weight of sugar"
98727,"2007993904","80","Other"
98721,"2007993905","10","Hazelnut paste"
98725,"2007993905","80","Containing less than 70 % by weight of sugar"
98728,"2007993906","80","Other"
